id,name,portion_size,protein_g,green_carbs_g,net_carbs_g,mixed_fat_g,pure_fats_g,fiber_g,gi,gl,calories,recommendation_type
food_0449,Pineapple (cup),1 cup - approx 160 g,0.7,0.0,17.8,0.2,0.0,4.6,66.0,9.0,76.0,OR
food_0450,Pear (g),100 g,0.4,0.0,15.5,0.1,0.0,3.1,38.0,4.0,58.0,OR
food_0451,Pear (fruit),1 medium - approx 180 g,0.7,0.0,27.5,0.2,0.0,5.5,38.0,8.0,103.0,OR
food_0452,Kiwi (fruit),1 fruit - approx 150 g,1.6,0.0,20.2,0.7,0.0,4.1,50.0,8.0,84.0,OR
food_0453,Pomegranate (g),100 g,1.7,0.0,18.7,1.2,0.0,4.0,67.0,7.4,83.0,MR
food_0454,Pomegranate (cup),1 cup - approx 180 g,2.9,0.0,32.5,2.0,0.0,7.0,67.0,13.32,144.0,MR
food_0455,Custard apple (g),100 g,2.1,0.0,23.6,0.0,0.0,4.4,54.0,10.0,94.0,OR
food_0456,Custard apple (fruit),1 fruit - approx 170 g,3.5,0.0,40.1,0.0,0.0,7.5,54.0,18.0,160.0,OR
food_0457,Indian Jujube (Ber),1 fruit - approx 17 g,0.1,0.0,2.8,0.1,0.0,0.6,20.0,0.4,12.0,MR
food_0458,Grapes / angoor (g),100 g,0.5,0.0,16.5,0.3,0.0,1.2,53.0,8.1,71.0,OR
food_0459,Grapes /angoor (piece),1 Piece - approx 5 g,0.0,0.0,0.8,0.0,0.0,0.1,53.0,0.4,3.0,OR
food_0460,Blackberry,100 g,1.4,0.0,4.3,0.0,0.0,5.3,25.0,1.075,43.0,OR
food_0461,Ice apple/Tadgola,40 g,0.32,0.0,4.4,0.0,0.0,0.4,52.0,2.28,17.2,OR
food_0462,Mulberry,100 g,1.4,0.0,8.3,0.4,0.0,1.7,25.0,2.075,43.0,OR
food_0463,Dragonfruit,100 g,0.36,0.0,12.0,0.14,0.0,3.0,50.0,6.0,57.0,OR
food_0464,Dark Chocolate 95%,10 g,1.3,0.0,1.5,4.8,0.0,2.5,20.0,0.7,62.0,OR
food_0465,Dark Chocolate 75%,10 g,0.8,0.0,3.7,4.0,0.0,1.1,2.3,0.8,57.0,NR
food_0466,Dark Chocolate 55%,10 g,0.6,0.0,5.73,3.37,0.0,0.0,40.0,3.0379,55.7,NR
food_0467,Milk Chocolate,10 g,0.76,0.0,5.6,1.84,0.0,0.0,51.0,2.856,52.8,NR
food_0468,Cocoa Powder (unsweetened),100g,19.6,0.0,21.0,13.7,0.0,37.0,20.0,4.2,228.0,MR
food_0469,Toffee,1 Piece - 7g,0.3,0.0,4.8,1.3,0.0,0.0,51.0,2.5,31.9,NR
food_0470,Candy,1 Piece - 7g,0.0,0.0,7.0,1.3,0.0,0.0,65.0,4.55,31.9,NR
food_0471,Mawa til ladoo,1 piece - 60 g,5.0,0.0,32.8,12.6,0.0,0.6,82.0,26.896,262.0,NR
food_0472,Indian sweet (Mithai),1 Piece approx 30 g,3.5,0.0,12.5,5.2,0.0,0.0,80.0,10.0,109.0,NR
food_0473,Ice cream without sugar,50 g,1.6,0.0,8.0,6.4,0.0,2.4,49.0,3.1,96.0,OR
food_0474,Ice Cream,1 scoop - approx 60.0 g,1.4,0.0,14.3,12.7,0.0,0.0,57.0,7.0,173.0,NR
food_0475,Kheer without Sugar,1 katori - 150 g,8.8,0.0,24.9,12.5,0.0,0.5,53.0,12.3,243.0,OR
food_0476,Kheer with Sugar,1 katori - 150 g,7.4,0.0,45.2,11.2,0.0,0.4,66.0,26.0,304.0,NR
food_0477,Cheesecake,1 slice - 40 g,4.9,0.0,13.7,5.7,0.0,0.1,76.0,10.41,123.0,NR
food_0478,Gajak / layee / lai / maroonda,1 medium piece - 16 g,0.6,0.0,9.6,1.6,0.0,0.6,82.0,7.2,54.0,NR
food_0479,Croissant,1 croissant,3.9,0.0,21.5,14.6,0.0,2.9,88.0,15.75,232.0,NR
food_0480,Gajar Halwa with sugar,1 katori - 150 g,4.2,0.0,32.1,8.0,0.0,3.9,65.0,17.0,194.0,NR
food_0481,Gajar Halwa without sugar,1 katori - 150 g,4.2,0.0,14.7,8.0,0.0,3.8,65.0,6.6,151.0,OR
food_0482,Moong/Mung dal halwa,1 katori - 150 g,6.4,0.0,30.0,15.0,0.0,2.1,74.0,22.2,252.0,NR
food_0483,Sooji (Suji) Halwa,1 katori - 150 g,2.3,0.0,35.1,17.0,0.0,0.9,82.0,28.0,294.0,NR
food_0484,Cake Slice / Pastry,1 Slice - approx 60.0 g,3.6,0.0,26.5,13.1,0.0,0.6,82.0,21.0,235.0,NR
food_0485,Chocolate Brownie,1 Piece - 40 g,2.6,0.0,22.9,7.0,0.0,0.7,85.0,17.85,162.0,NR
food_0486,Cold drink / Soft drink - Regular,1 glass - 250.0 ml,0.0,0.0,32.5,0.0,0.0,0.0,53.0,17.0,130.0,NR
food_0487,Diet coke / soft drink,1 glass - 250 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NR
food_0488,Fruit Juice,1 glass - 250.0 ml,0.4,0.0,27.0,0.0,0.0,0.0,60.0,18.0,115.0,NR
food_0489,Carrot Juice,1 glass - 250.0 ml,2.2,0.0,15.0,0.3,0.0,1.0,45.0,14.1,94.0,NR
food_0490,Juice box - packaged,100 ml,0.0,0.0,15.6,0.0,0.0,0.0,60.0,9.36,63.0,NR
food_0491,Ketchup / Sauce,1 teaspoon - approx 10 g,0.0,0.0,3.0,0.0,0.0,0.0,55.0,1.6,12.0,NR
food_0492,Gatorade,250 g bottle,0.0,0.0,15.0,0.0,0.0,0.0,89.0,13.0,60.0,NR
food_0493,Pop Corn - Plain,25 g,2.0,0.0,11.3,1.3,0.0,2.5,55.0,6.2,123.3,NR
food_0494,Pop Corn - Butter,25 g,2.0,0.0,11.3,7.3,0.0,2.5,55.0,6.2,123.3,NR
food_0495,French Fries,Small Serving 70 g,2.0,0.0,37.0,10.0,0.0,1.5,63.0,23.31,260.0,NR
food_0496,Red wine,100 ml,0.1,0.0,3.0,0.0,0.0,0.0,62.0,1.4,85.0,NR
food_0497,White wine,100 ml,0.1,0.0,2.6,0.0,0.0,0.0,64.0,1.4,82.0,NR
food_0498,Gin,30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,NR
food_0499,Whisky,30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,NR
food_0500,Vodka,30 ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,NR
food_0501,Beer,330 ml,0.0,0.0,13.0,0.0,0.0,0.0,100.0,7.5,154.0,NR
food_0502,Pet-CC,100g,17.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,145.0,R
food_0503,Pet-CS,100g,8.2,0.0,0.0,0.0,38.0,0.0,0.0,0.0,375.0,R
food_0504,Almond butter - with carbs,100 g,20.8,0.0,10.5,58.9,0.0,12.2,10.0,0.0,655.0,NR
food_0505,Peanut butter - with carbs,100 g,21.9,0.0,25.0,50.0,0.0,6.3,14.0,2.0,594.0,NR
food_0506,Bread Pakoda,1 Half-Bread Slice,5.3,0.0,24.8,17.9,0.0,4.4,85.0,17.0,282.0,NR
food_0507,Sooji (Suji) Halwa,1 katori - 150 g,2.3,0.0,35.1,17.0,0.0,0.9,82.0,28.0,294.0,NR
food_0508,Bhatura / Batura,1 Piece - 100 g,5.6,0.0,32.9,16.8,0.0,1.2,85.0,27.0,307.0,NR
food_0509,Samosa,1 Samosa - 100 g,4.0,0.0,30.1,15.3,0.0,1.8,85.0,24.055,276.0,NR
food_0510,Moong/Mung dal halwa,1 katori - 150 g,6.4,0.0,30.0,15.0,0.0,2.1,74.0,22.2,252.0,NR
food_0511,Croissant,1 croissant,3.9,0.0,21.5,14.6,0.0,2.9,88.0,15.75,232.0,NR
food_0512,Khasta Kachori,1 piece - 50 g,3.0,0.0,15.1,14.0,0.0,1.2,85.0,12.0,199.0,NR
food_0513,Paneer Parantha,1 parantha - 80 g,10.1,0.0,15.9,13.7,0.0,2.4,78.0,11.0,226.0,NR
food_0514,Cake Slice / Pastry,1 Slice - approx 60.0 g,3.6,0.0,26.5,13.1,0.0,0.6,82.0,21.0,235.0,NR
food_0515,Burger,1 Burger - approx 250 g,8.9,0.0,59.5,13.0,0.0,4.1,66.0,39.27,384.0,NR
food_0516,Ice Cream,1 scoop - approx 60.0 g,1.4,0.0,14.3,12.7,0.0,0.0,57.0,7.0,173.0,NR
food_0517,Mawa til ladoo,1 piece - 60 g,5.0,0.0,32.8,12.6,0.0,0.6,82.0,26.896,262.0,NR
food_0518,Spring Rolls,1 Piece - approx 70 g,2.5,0.0,19.4,12.2,0.0,1.3,60.0,11.0,200.0,NR
food_0519,Butter - with carbs,1 spoon - approx 15 g,0.1,0.0,0.0,11.2,0.0,0.0,50.0,0.0,101.0,NR
food_0520,Kheer with Sugar,1 katori - 150 g,7.4,0.0,45.2,11.2,0.0,0.4,66.0,26.0,304.0,NR
food_0521,Sandwich (mayo and veggies),1 sandwich,12.0,0.0,26.2,11.0,0.0,1.5,81.0,21.0,257.0,NR
food_0522,Chicken Roll / Chicken keema roll,1 roll - 140 g,16.2,0.0,28.1,10.3,0.0,1.8,81.0,20.1,266.0,NR
food_0523,Hash browns (Aloo tikki),1 piece - 100 g,2.5,0.0,25.4,10.0,0.0,11.0,76.0,11.0,205.0,NR
food_0524,French Fries,Small Serving 70 g,2.0,0.0,37.0,10.0,0.0,1.5,63.0,23.31,260.0,NR
food_0525,Bread - multigrain,1 Slice - approx 20 g,1.92,0.0,8.1,8.6,0.0,1.3,70.0,5.67,53.0,NR
food_0526,Egg Bread Omelette,1 egg - 1 bread,11.0,0.0,21.0,8.4,0.0,1.0,63.0,11.0,312.0,NR
food_0527,Vada/Wada - potato,1 vada - approx 50 g,2.3,0.0,11.2,8.3,0.0,1.4,82.0,8.0,128.0,NR
food_0528,Lassi - Sweet (2 tsp sugar),1 glass - 250 ml,6.4,0.0,25.3,8.3,0.0,0.1,82.0,20.1,198.0,NR
food_0529,Soya nuggets - sabzi,1 katori - 200 g,20.0,0.0,14.0,8.0,0.0,5.0,26.0,2.2,150.0,NR
food_0530,Gajar Halwa with sugar,1 katori - 150 g,4.2,0.0,32.1,8.0,0.0,3.9,65.0,17.0,194.0,NR
food_0531,Pop Corn - Butter,25 g,2.0,0.0,11.3,7.3,0.0,2.5,55.0,6.2,123.3,NR
